,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Cust_enroll_year,Cust_enroll_month,Cust_enroll_Quarter,Cust_enroll_day,Cust_enroll_month_Phase,Age,Joining_Age
43,7281.0,1969,PhD,Single,50198.0,0,0,2023-11-05,80,81,11,50,3.0,2.0,39,1,1,3.0,4,2,0,0,0,0,0,0,3,11,0,2023,November,Q4,Sunday,Start,56,54
44,2139.0,1985,Master,Married,7668.96,1,0,2023-10-02,19,3,1,10,3.0,2.0,12,3,2,0.0,3,5,0,0,0,0,0,0,3,11,0,2023,October,Q4,Monday,Start,40,38
45,1371.0,1986,Graduation,Single,79941.0,0,0,2024-06-28,72,123,164,266,226.35999999999967,30.0,174,1,2,4.0,9,1,0,0,0,0,0,0,3,11,0,2024,June,Q2,Friday,End,39,38
46,9909.0,2002,2n Cycle,Married,7668.96,0,0,2022-11-09,24,3,18,14,15.0,22.0,50,3,3,1.0,3,9,0,0,0,0,0,0,3,11,1,2022,November,Q4,Wednesday,Start,23,20
47,7286.0,1978,Graduation,Together,41728.0,1,0,2023-05-24,92,13,6,15,3.0,5.0,13,1,2,0.0,2,9,0,0,0,0,0,0,3,11,0,2023,May,Q2,Wednesday,End,47,45
48,7244.0,1961,Graduation,Single,49973.5,2,1,2024-01-01,96,48,5,48,6.0,10.0,7,3,2,1.0,4,6,0,0,0,0,0,0,3,11,0,2024,January,Q1,Monday,Start,64,63
49,6566.0,1964,PhD,Married,72550.0,1,1,2022-11-08,39,826,50,317,50.0,38.0,38,9,5,2.0,12,8,0,0,0,0,0,0,3,11,0,2022,November,Q4,Tuesday,Start,61,58
50,8614.0,1967,Graduation,Widow,65486.0,0,1,2024-05-12,29,245,19,125,37.0,67.0,14,1,4,2.0,10,2,0,0,0,0,0,0,3,11,0,2024,May,Q2,Sunday,Middle,58,57
51,4114.0,1974,Master,Married,79143.0,0,0,2022-08-11,2,650,37,780,27.0,167.0,32,1,6,9.0,13,3,0,0,0,0,0,0,3,11,0,2022,August,Q3,Thursday,Middle,51,48
52,1331.0,1987,Graduation,Single,35790.0,1,0,2023-01-02,54,12,6,20,30.0,1.0,3,2,2,0.0,3,7,0,0,0,0,0,0,3,11,0,2023,January,Q1,Monday,Start,38,36
53,2225.0,1987,Graduation,Divorced,82582.0,0,0,2024-06-07,54,510,120,550,156.0,40.0,227,1,4,9.0,7,1,1,0,0,1,0,0,3,11,1,2024,June,Q2,Friday,Start,38,37
54,9381.0,1988,Graduation,Married,66373.0,1,1,2023-06-12,57,328,9,124,12.0,24.0,109,7,4,2.0,10,3,0,0,0,0,0,0,3,11,0,2023,June,Q2,Monday,Middle,37,35
55,6260.0,1965,Master,Together,82384.0,0,0,2022-11-19,55,984,51,432,180.0,120.0,190,1,3,10.0,13,1,0,0,1,0,0,0,3,11,1,2022,November,Q4,Saturday,Middle,60,57
56,10383.0,1976,Graduation,Divorced,70287.0,0,0,2023-04-02,30,295,35,482,121.0,120.0,40,1,5,5.0,10,3,0,0,0,0,0,0,3,11,1,2023,April,Q2,Sunday,Start,49,47
57,7437.0,1998,Graduation,Single,27938.0,1,0,2024-04-28,31,13,0,8,2.0,1.0,5,1,1,0.0,4,3,0,0,0,0,0,0,3,11,0,2024,April,Q2,Sunday,End,27,26
58,8557.0,1992,Graduation,Single,49973.5,1,0,2023-06-17,57,11,3,22,2.0,2.0,6,2,2,0.0,3,6,0,0,0,0,0,0,3,11,0,2023,June,Q2,Saturday,Middle,33,31
59,8375.0,1978,PhD,Married,55954.0,0,1,2024-03-03,63,447,0,28,0.0,0.0,43,3,8,2.0,6,7,0,0,0,0,0,0,3,11,0,2024,March,Q1,Sunday,Start,47,46
60,6853.0,1992,Master,Single,75777.0,0,0,2023-07-04,12,712,26,538,69.0,13.0,80,1,3,6.0,11,1,0,1,1,0,0,0,3,11,1,2023,July,Q3,Tuesday,Start,33,31
61,3076.0,1985,Graduation,Together,66653.0,1,1,2022-09-07,18,452,18,102,16.0,18.0,6,4,4,2.0,12,3,0,0,0,0,0,0,3,11,0,2022,September,Q3,Wednesday,Start,40,37
62,1012.0,1962,Graduation,Single,61823.0,0,1,2023-02-18,26,523,7,134,37.0,14.0,169,4,8,2.0,10,7,0,0,0,0,0,0,3,11,0,2023,February,Q1,Saturday,Middle,63,61
63,6518.0,1961,PhD,Widow,67680.0,0,1,2023-06-11,8,546,0,48,0.0,6.0,6,1,7,3.0,8,5,0,0,0,0,0,0,3,11,0,2023,June,Q2,Sunday,Middle,64,62
64,4137.0,1958,Graduation,Together,70666.0,0,0,2023-12-06,29,398,40,367,119.0,122.0,30,1,7,4.0,4,4,0,0,0,0,0,0,3,11,0,2023,December,Q4,Wednesday,Start,67,65
65,8082.0,1981,Graduation,Married,25721.0,1,0,2023-05-21,75,1,3,6,3.0,6.0,15,1,1,1.0,2,7,0,0,0,0,0,0,3,11,1,2023,May,Q2,Sunday,End,44,42
66,1386.0,1977,Graduation,Together,32474.0,1,1,2024-05-11,0,10,0,2,0.0,0.0,0,1,1,0.0,2,7,0,0,0,0,0,0,3,11,0,2024,May,Q2,Saturday,Middle,48,47
67,9369.0,1989,2n Cycle,Single,88194.0,0,1,2024-03-19,19,688,14,309,201.0,24.0,38,1,11,10.0,10,5,1,0,0,1,0,0,3,11,1,2024,March,Q1,Tuesday,Middle,36,35
68,4477.0,1968,Graduation,Together,69096.0,0,1,2023-09-27,4,247,49,159,7.0,82.0,109,1,5,2.0,10,4,0,0,0,0,0,0,3,11,0,2023,September,Q3,Wednesday,End,57,55
69,1357.0,1980,Graduation,Together,74854.0,1,2,2023-04-08,90,856,59,487,58.0,29.0,73,7,2,5.0,5,5,0,0,0,0,0,0,3,11,0,2023,April,Q2,Saturday,Start,45,43
70,1402.0,1964,Master,Married,66991.0,0,0,2022-09-11,1,496,36,460,189.0,60.0,12,3,4,8.0,6,3,0,0,0,0,0,0,3,11,0,2022,September,Q3,Sunday,Middle,61,58
71,10629.0,1983,2n Cycle,Married,46462.5,1,0,2022-09-14,25,25,3,43,17.0,4.0,17,3,3,0.0,3,8,0,0,0,0,0,0,3,11,0,2022,September,Q3,Wednesday,Middle,42,39
72,6312.0,1969,Graduation,Married,65031.0,0,1,2023-03-17,29,258,107,291,84.0,37.0,86,4,10,3.0,13,7,0,0,0,0,0,0,3,11,0,2023,March,Q1,Friday,Middle,56,54
73,8132.0,1985,PhD,Married,60631.0,1,1,2023-04-05,88,565,6,65,0.0,6.0,19,5,9,2.0,8,7,0,1,0,0,0,0,3,11,0,2023,April,Q2,Wednesday,Start,40,38
74,1050.0,1962,Graduation,Married,28332.0,0,0,2024-04-30,58,14,10,13,4.0,15.0,9,1,2,1.0,4,2,0,0,0,0,0,0,3,11,0,2024,April,Q2,Tuesday,End,63,62
75,5846.0,1987,Graduation,Divorced,40246.0,1,0,2022-12-19,68,2,1,6,2.0,1.0,1,1,1,0.0,2,6,0,0,0,0,0,0,3,11,0,2022,December,Q4,Monday,Middle,38,35
76,1859.0,1982,Master,Married,75251.0,0,0,2022-08-27,34,721,111,915,97.0,18.0,18,1,7,6.0,5,5,0,0,0,0,0,0,3,11,1,2022,August,Q3,Saturday,End,43,40
77,7503.0,1986,Graduation,Single,75825.0,0,0,2022-10-12,40,1032,105,779,137.0,105.0,51,0,5,8.0,9,4,1,0,0,0,0,0,3,11,1,2022,October,Q4,Wednesday,Middle,39,36
78,10401.0,1986,2n Cycle,Together,26326.0,0,0,2023-09-04,12,1,0,5,0.0,3.0,9,1,0,0.0,3,3,0,0,0,0,0,0,3,11,0,2023,September,Q3,Monday,Start,39,37
79,1618.0,1975,Graduation,Together,56046.0,0,0,2023-01-02,9,577,0,64,0.0,0.0,51,2,10,1.0,8,8,1,0,0,0,0,0,3,11,1,2023,January,Q1,Monday,Start,50,48
80,3332.0,1995,Graduation,Single,29760.0,1,0,2022-08-29,87,64,4,68,7.0,5.0,17,4,3,1.0,4,8,0,0,0,0,0,0,3,11,0,2022,August,Q3,Monday,End,30,27
81,2261.0,1979,Graduation,Married,26304.0,1,0,2023-06-23,5,4,1,5,2.0,0.0,4,1,1,0.0,2,7,0,0,0,0,0,0,3,11,0,2023,June,Q2,Friday,End,46,44
82,5346.0,1983,2n Cycle,Married,23559.0,1,0,2023-07-03,87,25,5,19,7.0,0.0,23,3,3,0.0,3,7,0,0,0,0,0,0,3,11,0,2023,July,Q3,Monday,Start,42,40
83,4119.0,1973,Master,Together,38620.0,0,0,2023-05-11,56,112,17,44,34.0,22.0,89,1,2,5.0,3,3,0,0,0,0,0,0,3,11,0,2023,May,Q2,Thursday,Middle,52,50
84,535.0,1997,Graduation,Divorced,81361.0,0,0,2024-02-25,18,163,23,424,27.0,65.0,76,1,3,10.0,13,1,0,0,0,0,0,0,3,11,0,2024,February,Q1,Sunday,End,28,27
85,5268.0,1970,Graduation,Married,29440.0,1,1,2023-08-11,95,17,8,14,10.0,4.0,3,2,1,0.0,4,7,0,0,0,0,0,0,3,11,0,2023,August,Q3,Friday,Middle,55,53
86,273.0,1980,Master,Married,36138.0,1,1,2023-07-16,48,130,0,16,0.0,0.0,5,5,3,1.0,4,7,0,1,0,0,0,0,3,11,0,2023,July,Q3,Sunday,Middle,45,43
87,4452.0,1967,Graduation,Single,50388.0,0,1,2024-05-28,3,292,6,37,0.0,3.0,34,4,6,1.0,6,7,0,1,0,1,0,0,3,11,1,2024,May,Q2,Tuesday,End,58,57
88,8504.0,1983,Graduation,Married,79593.0,0,0,2024-05-12,70,350,60,568,110.0,133.0,145,1,5,6.0,7,2,0,0,1,0,0,0,3,11,0,2024,May,Q2,Sunday,Middle,42,41
89,771.0,1977,Graduation,Together,54178.0,0,1,2024-01-21,79,135,9,39,4.0,0.0,7,1,2,2.0,5,2,0,0,0,0,0,0,3,11,0,2024,January,Q1,Sunday,End,48,47
90,8996.0,1967,PhD,Married,57081.5,2,1,2022-11-19,4,230,42,192,49.0,37.0,53,10,7,2.0,8,9,0,0,0,0,0,0,3,11,0,2022,November,Q4,Saturday,Middle,58,55
91,9235.0,1967,Graduation,Single,49973.5,1,1,2024-05-27,45,7,0,8,2.0,0.0,1,1,1,0.0,2,7,0,0,0,0,0,0,3,11,0,2024,May,Q2,Monday,End,58,57
92,5798.0,1983,Master,Together,49736.0,0,0,2023-11-23,87,445,37,359,98.0,28.0,18,1,2,4.0,8,1,0,0,0,0,0,0,3,11,0,2023,November,Q4,Thursday,End,42,40
93,11073.039999999999,1982,Master,Single,42394.0,1,0,2024-03-23,69,15,2,10,0.0,1.0,4,1,1,0.0,3,7,0,0,0,0,0,0,3,11,0,2024,March,Q1,Saturday,End,43,42
94,2230.0,1980,PhD,Married,23626.0,1,0,2024-05-24,84,27,2,14,0.0,0.0,0,3,3,1.0,3,5,0,0,0,0,0,0,3,11,0,2024,May,Q2,Friday,End,45,44
95,7516.0,1993,Graduation,Married,30096.0,1,0,2024-05-22,30,5,3,11,12.0,5.0,9,1,2,0.0,3,6,0,0,0,0,0,0,3,11,0,2024,May,Q2,Wednesday,End,32,31
96,7247.0,1970,Graduation,Widow,47916.0,0,1,2022-11-22,72,505,0,26,0.0,0.0,75,5,7,4.0,6,6,0,1,0,0,0,0,3,11,0,2022,November,Q4,Tuesday,End,55,52
97,11073.039999999999,1982,Graduation,Divorced,51813.0,1,1,2023-04-11,37,51,2,7,0.0,1.0,2,2,2,0.0,3,7,0,0,0,0,0,0,3,11,0,2023,April,Q2,Tuesday,Middle,43,41
98,4646.0,1961,2n Cycle,Married,78497.0,0,0,2023-12-01,44,207,26,447,75.0,0.0,223,1,5,7.0,12,2,0,0,0,1,0,0,3,11,0,2023,December,Q4,Friday,Start,64,62
99,3037.0,1993,PhD,Married,50150.0,0,0,2023-06-20,32,135,46,92,65.0,61.0,11,2,5,2.0,7,5,0,0,0,0,0,0,3,11,0,2023,June,Q2,Tuesday,Middle,32,30
100,1473.0,1970,2n Cycle,Single,47823.0,0,1,2023-07-23,0,53,1,5,2.0,1.0,10,2,2,0.0,3,8,0,0,0,0,0,0,3,11,0,2023,July,Q3,Sunday,End,55,53
101,1016.0,1969,PhD,Single,34554.0,0,1,2024-03-30,43,41,1,6,2.0,0.0,5,2,2,0.0,3,6,0,0,0,0,0,0,3,11,0,2024,March,Q1,Saturday,End,56,55
102,4518.0,1989,Graduation,Together,85693.0,0,1,2023-04-20,59,386,172,183,185.0,132.0,111,2,9,5.0,11,5,0,0,0,0,0,0,3,11,0,2023,April,Q2,Thursday,Middle,36,34
103,9370.0,1955,PhD,Married,65846.0,0,0,2023-05-17,68,562,81,276,80.0,40.0,81,1,6,3.0,6,4,0,0,0,0,0,0,3,11,0,2023,May,Q2,Wednesday,Middle,70,68
104,8908.0,1969,Graduation,Married,87195.0,0,0,2024-05-08,35,217,76,690,50.0,26.0,38,1,3,10.679999999999836,5,1,0,0,0,0,0,0,3,11,1,2024,May,Q2,Wednesday,Start,56,55
105,8373.0,1989,Basic,Together,24594.0,1,0,2023-12-10,94,1,3,6,10.0,0.0,9,1,1,0.0,3,5,0,0,0,0,0,0,3,11,0,2023,December,Q4,Sunday,Start,36,34
106,7533.0,1974,Graduation,Married,49096.0,1,1,2023-09-24,15,144,1,32,2.0,1.0,7,4,4,1.0,4,7,0,0,0,0,0,0,3,11,0,2023,September,Q3,Sunday,End,51,49
107,2683.0,1979,Graduation,Married,52413.0,0,2,2023-02-02,56,295,106,271,75.0,98.0,65,4,6,4.0,12,6,0,0,0,0,0,0,3,11,0,2023,February,Q1,Thursday,Start,46,44
108,3629.0,1988,Graduation,Single,38557.0,1,0,2022-12-19,17,76,3,31,4.0,4.0,27,2,3,1.0,3,7,0,0,0,0,0,0,3,11,0,2022,December,Q4,Monday,Middle,37,34
109,10991.0,1970,Master,Married,89058.0,0,0,2022-12-07,18,454,172,106,31.0,22.0,43,1,5,4.0,4,2,0,0,0,0,0,0,3,11,0,2022,December,Q4,Wednesday,Start,55,52
110,5077.0,1989,Graduation,Together,77298.0,0,1,2023-11-02,46,425,115,292,23.0,35.0,79,1,6,6.0,11,3,0,0,0,0,0,0,3,11,0,2023,November,Q4,Thursday,Start,36,34
111,7431.0,2001,PhD,Single,68126.0,0,0,2022-11-10,40,1285,17,311,23.0,51.0,86,1,7,4.0,5,9,0,1,0,0,0,0,3,11,1,2022,November,Q4,Thursday,Start,24,21
112,3267.0,1973,Master,Together,57288.0,0,1,2024-06-25,27,527,0,21,0.0,0.0,60,3,8,1.0,8,6,0,1,0,0,0,0,3,11,0,2024,June,Q2,Tuesday,End,52,51
113,999.0,2001,Graduation,Single,86037.0,0,0,2023-01-02,95,490,44,125,29.0,20.0,22,1,6,7.0,11,3,0,1,1,0,0,0,3,11,1,2023,January,Q1,Monday,Start,24,22
114,9215.0,1990,PhD,Married,43974.0,1,0,2022-12-12,19,378,0,101,0.0,0.0,72,5,6,4.0,6,7,0,0,0,0,0,0,3,11,0,2022,December,Q4,Monday,Middle,35,32
115,2286.0,1972,Graduation,Single,50785.0,1,1,2023-09-10,27,64,1,21,0.0,1.0,27,2,2,1.0,3,6,0,0,0,0,0,0,3,11,0,2023,September,Q3,Sunday,Start,53,51
116,1592.0,1980,Graduation,Married,90765.0,0,0,2024-01-24,25,547,99,812,151.0,82.0,33,0,4,6.0,5,1,0,0,1,1,0,0,3,11,0,2024,January,Q1,Wednesday,End,45,44
117,367.0,1988,2n Cycle,Married,36550.0,1,0,2023-02-19,74,47,90,94,123.0,103.0,120,5,9,1.0,5,9,0,0,0,0,0,0,3,11,0,2023,February,Q1,Sunday,Middle,37,35
118,5234.0,1977,2n Cycle,Together,30753.0,1,1,2023-07-11,85,12,5,25,0.0,9.0,30,2,1,1.0,3,5,0,0,0,0,0,0,3,11,0,2023,July,Q3,Tuesday,Middle,48,46
119,9862.0,1979,Graduation,Together,21918.0,1,0,2023-11-14,37,1,6,7,11.0,5.0,3,2,2,0.0,3,6,0,0,0,0,0,0,3,11,0,2023,November,Q4,Tuesday,Middle,46,44
120,9805.0,1963,Master,Together,56129.0,0,1,2023-06-20,65,320,48,133,39.0,72.0,48,4,6,2.0,10,4,0,0,0,0,0,0,3,11,0,2023,June,Q2,Tuesday,Middle,62,60
121,6205.0,1977,Master,Single,32557.0,1,0,2024-02-24,13,34,3,29,0.0,4.0,10,3,2,1.0,3,5,0,0,0,0,0,0,3,11,1,2024,February,Q1,Saturday,End,48,47
122,8442.0,1995,Master,Married,19510.0,2,0,2023-09-04,63,9,0,7,3.0,4.0,7,2,1,0.0,3,7,0,0,0,0,0,0,3,11,0,2023,September,Q3,Monday,Start,30,28
123,7386.0,1986,Graduation,Divorced,30992.0,1,0,2023-04-22,83,17,0,14,7.0,3.0,2,1,1,0.0,3,7,0,0,0,0,0,0,3,11,0,2023,April,Q2,Saturday,End,39,37
124,7215.0,1993,Graduation,Single,94443.83999999998,0,0,2023-03-12,69,722,27,102,44.0,72.0,168,0,6,8.0,13,2,0,1,1,1,0,0,3,11,1,2023,March,Q1,Sunday,Middle,32,30
125,1491.0,1975,2n Cycle,Together,71488.0,0,0,2023-02-18,87,162,33,124,40.0,28.0,172,2,3,4.0,7,1,0,0,0,0,0,0,3,11,0,2023,February,Q1,Saturday,Middle,50,48
126,11071.0,1994,Graduation,Single,79607.0,0,0,2023-04-21,37,450,133,915,173.0,0.0,216,1,3,6.0,6,1,0,0,0,0,0,0,3,11,1,2023,April,Q2,Friday,End,31,29
127,3381.0,1963,Master,Married,54348.0,1,1,2024-06-08,51,70,0,16,0.0,0.0,4,2,2,0.0,4,6,0,0,0,0,0,0,3,11,0,2024,June,Q2,Saturday,Start,62,61
128,8268.0,1971,PhD,Married,57081.5,0,1,2023-07-11,23,352,0,27,10.0,0.0,15,3,6,1.0,7,6,0,0,0,0,0,0,3,11,0,2023,July,Q3,Tuesday,Middle,54,52
129,11051.0,1966,PhD,Together,77376.0,1,1,2024-05-10,72,492,19,110,16.0,12.0,12,4,6,3.0,10,4,0,0,0,0,0,0,3,11,0,2024,May,Q2,Friday,Start,59,58
